Year,Circuit,SessionType,Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,Position,LapTimeSeconds
2021,Bahrain,Race,NOR,McLaren,17.0,2.0,MEDIUM,5.0,True,1,5.0,96.239
2021,Bahrain,Race,NOR,McLaren,18.0,2.0,MEDIUM,6.0,True,1,5.0,96.045
2021,Bahrain,Race,NOR,McLaren,19.0,2.0,MEDIUM,7.0,True,1,5.0,96.084
2021,Bahrain,Race,NOR,McLaren,20.0,2.0,MEDIUM,8.0,True,1,4.0,96.463
2021,Bahrain,Race,NOR,McLaren,21.0,2.0,MEDIUM,9.0,True,1,4.0,96.569
2021,Bahrain,Race,NOR,McLaren,22.0,2.0,MEDIUM,10.0,True,1,4.0,96.371
2021,Bahrain,Race,NOR,McLaren,23.0,2.0,MEDIUM,11.0,True,1,4.0,96.547
2021,Bahrain,Race,NOR,McLaren,24.0,2.0,MEDIUM,12.0,True,1,4.0,96.409
2021,Bahrain,Race,NOR,McLaren,25.0,2.0,MEDIUM,13.0,True,1,4.0,96.565
2021,Bahrain,Race,NOR,McLaren,26.0,2.0,MEDIUM,14.0,True,1,4.0,96.152
2021,Bahrain,Race,NOR,McLaren,27.0,2.0,MEDIUM,15.0,True,1,4.0,96.29
2021,Bahrain,Race,NOR,McLaren,28.0,2.0,MEDIUM,16.0,True,1,4.0,96.577
2021,Bahrain,Race,NOR,McLaren,29.0,2.0,MEDIUM,17.0,True,1,4.0,96.646
2021,Bahrain,Race,NOR,McLaren,30.0,2.0,MEDIUM,18.0,True,1,4.0,96.417
2021,Bahrain,Race,NOR,McLaren,31.0,2.0,MEDIUM,19.0,True,1,3.0,96.515
2021,Bahrain,Race,NOR,McLaren,32.0,2.0,MEDIUM,20.0,True,1,3.0,96.616
2021,Bahrain,Race,NOR,McLaren,35.0,3.0,HARD,2.0,True,1,6.0,94.899
2021,Bahrain,Race,NOR,McLaren,36.0,3.0,HARD,3.0,True,1,6.0,94.647
2021,Bahrain,Race,NOR,McLaren,37.0,3.0,HARD,4.0,True,1,5.0,94.501
2021,Bahrain,Race,NOR,McLaren,38.0,3.0,HARD,5.0,True,1,5.0,94.396
2021,Bahrain,Race,NOR,McLaren,39.0,3.0,HARD,6.0,True,1,4.0,94.629
2021,Bahrain,Race,NOR,McLaren,40.0,3.0,HARD,7.0,True,1,4.0,94.756
2021,Bahrain,Race,NOR,McLaren,41.0,3.0,HARD,8.0,True,1,4.0,94.8
2021,Bahrain,Race,NOR,McLaren,42.0,3.0,HARD,9.0,True,1,4.0,95.09
2021,Bahrain,Race,NOR,McLaren,43.0,3.0,HARD,10.0,True,1,4.0,94.805
2021,Bahrain,Race,NOR,McLaren,45.0,3.0,HARD,12.0,True,1,4.0,94.816
2021,Bahrain,Race,NOR,McLaren,46.0,3.0,HARD,13.0,True,1,4.0,95.049
2021,Bahrain,Race,NOR,McLaren,47.0,3.0,HARD,14.0,True,1,4.0,94.843
2021,Bahrain,Race,NOR,McLaren,48.0,3.0,HARD,15.0,True,1,4.0,95.03
2021,Bahrain,Race,NOR,McLaren,49.0,3.0,HARD,16.0,True,1,4.0,95.112
2021,Bahrain,Race,NOR,McLaren,50.0,3.0,HARD,17.0,True,1,4.0,94.768
2021,Bahrain,Race,NOR,McLaren,51.0,3.0,HARD,18.0,True,1,4.0,95.074
2021,Bahrain,Race,NOR,McLaren,52.0,3.0,HARD,19.0,True,1,4.0,95.308
2021,Bahrain,Race,NOR,McLaren,53.0,3.0,HARD,20.0,True,1,4.0,95.429
2021,Bahrain,Race,NOR,McLaren,54.0,3.0,HARD,21.0,True,1,4.0,95.9
2021,Bahrain,Race,NOR,McLaren,55.0,3.0,HARD,22.0,True,1,4.0,95.718
2021,Bahrain,Race,NOR,McLaren,56.0,3.0,HARD,23.0,True,1,4.0,95.733
2021,Bahrain,Race,PER,Red Bull Racing,6.0,2.0,MEDIUM,7.0,False,1,14.0,97.48
2021,Bahrain,Race,PER,Red Bull Racing,7.0,2.0,MEDIUM,8.0,False,1,14.0,97.891
2021,Bahrain,Race,PER,Red Bull Racing,8.0,2.0,MEDIUM,9.0,False,1,13.0,97.134
2021,Bahrain,Race,PER,Red Bull Racing,9.0,2.0,MEDIUM,10.0,False,1,13.0,97.381
2021,Bahrain,Race,PER,Red Bull Racing,10.0,2.0,MEDIUM,11.0,False,1,12.0,96.788
2021,Bahrain,Race,PER,Red Bull Racing,11.0,2.0,MEDIUM,12.0,False,1,12.0,97.837
2021,Bahrain,Race,PER,Red Bull Racing,12.0,2.0,MEDIUM,13.0,False,1,10.0,97.988
2021,Bahrain,Race,PER,Red Bull Racing,13.0,2.0,MEDIUM,14.0,False,1,6.0,96.949
2021,Bahrain,Race,PER,Red Bull Racing,14.0,2.0,MEDIUM,15.0,False,1,5.0,96.87
2021,Bahrain,Race,PER,Red Bull Racing,15.0,2.0,MEDIUM,16.0,False,1,4.0,96.853
2021,Bahrain,Race,PER,Red Bull Racing,16.0,2.0,MEDIUM,17.0,False,1,4.0,96.526
2021,Bahrain,Race,PER,Red Bull Racing,17.0,2.0,MEDIUM,18.0,False,1,3.0,97.062
2021,Bahrain,Race,PER,Red Bull Racing,18.0,2.0,MEDIUM,19.0,False,1,4.0,98.124
2021,Bahrain,Race,PER,Red Bull Racing,21.0,3.0,HARD,2.0,True,1,9.0,95.721
2021,Bahrain,Race,PER,Red Bull Racing,22.0,3.0,HARD,3.0,True,1,9.0,95.633
2021,Bahrain,Race,PER,Red Bull Racing,23.0,3.0,HARD,4.0,True,1,9.0,95.807
2021,Bahrain,Race,PER,Red Bull Racing,24.0,3.0,HARD,5.0,True,1,9.0,95.964
2021,Bahrain,Race,PER,Red Bull Racing,25.0,3.0,HARD,6.0,True,1,8.0,95.526
2021,Bahrain,Race,PER,Red Bull Racing,26.0,3.0,HARD,7.0,True,1,8.0,96.592
2021,Bahrain,Race,PER,Red Bull Racing,27.0,3.0,HARD,8.0,True,1,7.0,95.221
2021,Bahrain,Race,PER,Red Bull Racing,28.0,3.0,HARD,9.0,True,1,7.0,95.488
2021,Bahrain,Race,PER,Red Bull Racing,29.0,3.0,HARD,10.0,True,1,7.0,95.877
2021,Bahrain,Race,PER,Red Bull Racing,30.0,3.0,HARD,11.0,True,1,7.0,95.713
2021,Bahrain,Race,PER,Red Bull Racing,31.0,3.0,HARD,12.0,True,1,7.0,96.302
2021,Bahrain,Race,PER,Red Bull Racing,32.0,3.0,HARD,13.0,True,1,6.0,95.458
2021,Bahrain,Race,PER,Red Bull Racing,33.0,3.0,HARD,14.0,True,1,5.0,96.547
2021,Bahrain,Race,PER,Red Bull Racing,34.0,3.0,HARD,15.0,True,1,4.0,95.796
2021,Bahrain,Race,PER,Red Bull Racing,35.0,3.0,HARD,16.0,True,1,4.0,96.056
2021,Bahrain,Race,PER,Red Bull Racing,36.0,3.0,HARD,17.0,True,1,4.0,95.97
2021,Bahrain,Race,PER,Red Bull Racing,37.0,3.0,HARD,18.0,True,1,4.0,95.987
2021,Bahrain,Race,PER,Red Bull Racing,40.0,4.0,MEDIUM,7.0,False,1,7.0,94.518
2021,Bahrain,Race,PER,Red Bull Racing,41.0,4.0,MEDIUM,8.0,False,1,7.0,94.263
2021,Bahrain,Race,PER,Red Bull Racing,42.0,4.0,MEDIUM,9.0,False,1,7.0,94.265
2021,Bahrain,Race,PER,Red Bull Racing,43.0,4.0,MEDIUM,10.0,False,1,7.0,94.449
2021,Bahrain,Race,PER,Red Bull Racing,45.0,4.0,MEDIUM,12.0,False,1,6.0,94.542
2021,Bahrain,Race,PER,Red Bull Racing,46.0,4.0,MEDIUM,13.0,False,1,6.0,94.709
2021,Bahrain,Race,PER,Red Bull Racing,47.0,4.0,MEDIUM,14.0,False,1,6.0,94.634
2021,Bahrain,Race,PER,Red Bull Racing,48.0,4.0,MEDIUM,15.0,False,1,6.0,94.167
2021,Bahrain,Race,PER,Red Bull Racing,49.0,4.0,MEDIUM,16.0,False,1,6.0,94.665
2021,Bahrain,Race,PER,Red Bull Racing,50.0,4.0,MEDIUM,17.0,False,1,6.0,94.241
2021,Bahrain,Race,PER,Red Bull Racing,51.0,4.0,MEDIUM,18.0,False,1,6.0,94.34
2021,Bahrain,Race,PER,Red Bull Racing,52.0,4.0,MEDIUM,19.0,False,1,5.0,95.32
2021,Bahrain,Race,PER,Red Bull Racing,53.0,4.0,MEDIUM,20.0,False,1,5.0,94.546
2021,Bahrain,Race,PER,Red Bull Racing,54.0,4.0,MEDIUM,21.0,False,1,5.0,94.892
2021,Bahrain,Race,PER,Red Bull Racing,55.0,4.0,MEDIUM,22.0,False,1,5.0,94.746
2021,Bahrain,Race,PER,Red Bull Racing,56.0,4.0,MEDIUM,23.0,False,1,5.0,94.755
2021,Bahrain,Race,LEC,Ferrari,6.0,1.0,SOFT,9.0,False,1,4.0,98.294
2021,Bahrain,Race,LEC,Ferrari,7.0,1.0,SOFT,10.0,False,1,4.0,97.148
2021,Bahrain,Race,LEC,Ferrari,8.0,1.0,SOFT,11.0,False,1,4.0,97.886
2021,Bahrain,Race,LEC,Ferrari,9.0,1.0,SOFT,12.0,False,1,5.0,98.667
2021,Bahrain,Race,LEC,Ferrari,10.0,1.0,SOFT,13.0,False,1,5.0,97.518
2021,Bahrain,Race,LEC,Ferrari,11.0,1.0,SOFT,14.0,False,1,5.0,97.729
2021,Bahrain,Race,LEC,Ferrari,14.0,2.0,MEDIUM,2.0,True,1,9.0,95.552
2021,Bahrain,Race,LEC,Ferrari,15.0,2.0,MEDIUM,3.0,True,1,9.0,95.955
2021,Bahrain,Race,LEC,Ferrari,16.0,2.0,MEDIUM,4.0,True,1,6.0,96.415
2021,Bahrain,Race,LEC,Ferrari,17.0,2.0,MEDIUM,5.0,True,1,6.0,96.936
2021,Bahrain,Race,LEC,Ferrari,18.0,2.0,MEDIUM,6.0,True,1,6.0,96.432
2021,Bahrain,Race,LEC,Ferrari,19.0,2.0,MEDIUM,7.0,True,1,6.0,96.289
2021,Bahrain,Race,LEC,Ferrari,20.0,2.0,MEDIUM,8.0,True,1,5.0,96.603
2021,Bahrain,Race,LEC,Ferrari,21.0,2.0,MEDIUM,9.0,True,1,5.0,96.721
2021,Bahrain,Race,LEC,Ferrari,22.0,2.0,MEDIUM,10.0,True,1,5.0,96.457
